# temperature_kelvin sz-expectation_hbar
1.00000000e-02 nan
1.10909091e-01 1.99999729e+00
2.11818182e-01 1.99912485e+00
3.12727273e-01 1.99312816e+00
4.13636364e-01 1.97986463e+00
5.14545455e-01 1.96048136e+00
6.15454545e-01 1.93665009e+00
7.16363636e-01 1.90966089e+00
8.17272727e-01 1.88038318e+00
9.18181818e-01 1.84938405e+00
1.01909091e+00 1.81703812e+00
1.12000000e+00 1.78360606e+00
1.22090909e+00 1.74928574e+00
1.32181818e+00 1.71424346e+00
1.42272727e+00 1.67863133e+00
1.52363636e+00 1.64259570e+00
1.62454545e+00 1.60628004e+00
1.72545455e+00 1.56982480e+00
1.82636364e+00 1.53336590e+00
1.92727273e+00 1.49703260e+00
2.02818182e+00 1.46094560e+00
2.12909091e+00 1.42521546e+00
2.23000000e+00 1.38994155e+00
2.33090909e+00 1.35521139e+00
2.43181818e+00 1.32110057e+00
2.53272727e+00 1.28767290e+00
2.63363636e+00 1.25498094e+00
2.73454545e+00 1.22306666e+00
2.83545455e+00 1.19196227e+00
2.93636364e+00 1.16169112e+00
3.03727273e+00 1.13226863e+00
3.13818182e+00 1.10370323e+00
3.23909091e+00 1.07599724e+00
3.34000000e+00 1.04914772e+00
3.44090909e+00 1.02314728e+00
3.54181818e+00 9.97984757e-01
3.64272727e+00 9.73645925e-01
3.74363636e+00 9.50114027e-01
3.84454545e+00 9.27370315e-01
3.94545455e+00 9.05394499e-01
4.04636364e+00 8.84165136e-01
4.14727273e+00 8.63659967e-01
4.24818182e+00 8.43856210e-01
4.34909091e+00 8.24730801e-01
4.45000000e+00 8.06260601e-01
4.55090909e+00 7.88422564e-01
4.65181818e+00 7.71193883e-01
4.75272727e+00 7.54552096e-01
4.85363636e+00 7.38475186e-01
4.95454545e+00 7.22941647e-01
5.05545455e+00 7.07930540e-01
5.15636364e+00 6.93421538e-01
5.25727273e+00 6.79394950e-01
5.35818182e+00 6.65831741e-01
5.45909091e+00 6.52713545e-01
5.56000000e+00 6.40022667e-01
5.66090909e+00 6.27742082e-01
5.76181818e+00 6.15855424e-01
5.86272727e+00 6.04346983e-01
5.96363636e+00 5.93201685e-01
6.06454545e+00 5.82405081e-01
6.16545455e+00 5.71943327e-01
6.26636364e+00 5.61803165e-01
6.36727273e+00 5.51971907e-01
6.46818182e+00 5.42437410e-01
6.56909091e+00 5.33188061e-01
6.67000000e+00 5.24212751e-01
6.77090909e+00 5.15500859e-01
6.87181818e+00 5.07042230e-01
6.97272727e+00 4.98827157e-01
7.07363636e+00 4.90846357e-01
7.17454545e+00 4.83090959e-01
7.27545455e+00 4.75552480e-01
7.37636364e+00 4.68222810e-01
7.47727273e+00 4.61094197e-01
7.57818182e+00 4.54159225e-01
7.67909091e+00 4.47410803e-01
7.78000000e+00 4.40842148e-01
7.88090909e+00 4.34446773e-01
7.98181818e+00 4.28218468e-01
8.08272727e+00 4.22151292e-01
8.18363636e+00 4.16239559e-01
8.28454545e+00 4.10477823e-01
8.38545455e+00 4.04860871e-01
8.48636364e+00 3.99383710e-01
8.58727273e+00 3.94041554e-01
8.68818182e+00 3.88829820e-01
8.78909091e+00 3.83744114e-01
8.89000000e+00 3.78780223e-01
8.99090909e+00 3.73934107e-01
9.09181818e+00 3.69201891e-01
9.19272727e+00 3.64579858e-01
9.29363636e+00 3.60064439e-01
9.39454545e+00 3.55652210e-01
9.49545455e+00 3.51339881e-01
9.59636364e+00 3.47124293e-01
9.69727273e+00 3.43002413e-01
9.79818182e+00 3.38971324e-01
9.89909091e+00 3.35028222e-01
1.00000000e+01 3.31170413e-01
