# temperature_kelvin sz-expectation_hbar
1.00000000e-02 9.97728585e-01
1.10909091e-01 9.75102198e-01
2.11818182e-01 9.51952728e-01
3.12727273e-01 9.30638826e-01
4.13636364e-01 9.07385393e-01
5.14545455e-01 8.81899534e-01
6.15454545e-01 8.59760012e-01
7.16363636e-01 8.35375687e-01
8.17272727e-01 8.19165082e-01
9.18181818e-01 7.97246367e-01
1.01909091e+00 7.70134029e-01
1.12000000e+00 7.47458761e-01
1.22090909e+00 7.22018827e-01
1.32181818e+00 6.99314892e-01
1.42272727e+00 6.79945998e-01
1.52363636e+00 6.54126269e-01
1.62454545e+00 6.34115617e-01
1.72545455e+00 6.12203191e-01
1.82636364e+00 5.94834826e-01
1.92727273e+00 5.55061835e-01
2.02818182e+00 5.52219842e-01
2.12909091e+00 5.35983047e-01
2.23000000e+00 5.13411172e-01
2.33090909e+00 4.90452771e-01
2.43181818e+00 4.84093636e-01
2.53272727e+00 4.64191348e-01
2.63363636e+00 4.44351593e-01
2.73454545e+00 4.40265079e-01
2.83545455e+00 4.19331909e-01
2.93636364e+00 4.02304316e-01
3.03727273e+00 3.87737927e-01
3.13818182e+00 3.73901601e-01
3.23909091e+00 3.69204248e-01
3.34000000e+00 3.52970688e-01
3.44090909e+00 3.50047199e-01
3.54181818e+00 3.33444146e-01
3.64272727e+00 3.26232827e-01
3.74363636e+00 3.22553258e-01
3.84454545e+00 3.06007227e-01
3.94545455e+00 2.99869746e-01
4.04636364e+00 2.89400390e-01
4.14727273e+00 2.83097059e-01
4.24818182e+00 2.78440748e-01
4.34909091e+00 2.64547585e-01
4.45000000e+00 2.56858668e-01
4.55090909e+00 2.66378729e-01
4.65181818e+00 2.43567921e-01
4.75272727e+00 2.38780966e-01
4.85363636e+00 2.31634885e-01
4.95454545e+00 2.37003059e-01
5.05545455e+00 2.30765912e-01
5.15636364e+00 2.18506491e-01
5.25727273e+00 2.29104594e-01
5.35818182e+00 2.12443438e-01
5.45909091e+00 2.13167763e-01
5.56000000e+00 2.08625269e-01
5.66090909e+00 1.95432240e-01
5.76181818e+00 1.93709968e-01
5.86272727e+00 1.96011268e-01
5.96363636e+00 1.82469598e-01
6.06454545e+00 1.84907196e-01
6.16545455e+00 1.87353984e-01
6.26636364e+00 1.72992311e-01
6.36727273e+00 1.78997994e-01
6.46818182e+00 1.71061100e-01
6.56909091e+00 1.70060778e-01
6.67000000e+00 1.77084213e-01
6.77090909e+00 1.60555597e-01
6.87181818e+00 1.57929093e-01
6.97272727e+00 1.53906340e-01
7.07363636e+00 1.56891575e-01
7.17454545e+00 1.53610050e-01
7.27545455e+00 1.46283989e-01
7.37636364e+00 1.41559291e-01
7.47727273e+00 1.43941788e-01
7.57818182e+00 1.50766812e-01
7.67909091e+00 1.35203208e-01
7.78000000e+00 1.44223603e-01
7.88090909e+00 1.46156582e-01
7.98181818e+00 1.40476541e-01
8.08272727e+00 1.29821076e-01
8.18363636e+00 1.39894469e-01
8.28454545e+00 1.26315173e-01
8.38545455e+00 1.22283415e-01
8.48636364e+00 1.24567161e-01
8.58727273e+00 1.21205012e-01
8.68818182e+00 1.20665978e-01
8.78909091e+00 1.19618260e-01
8.89000000e+00 1.22753213e-01
8.99090909e+00 1.18915045e-01
9.09181818e+00 1.18921889e-01
9.19272727e+00 1.09527543e-01
9.29363636e+00 1.12102834e-01
9.39454545e+00 1.09048898e-01
9.49545455e+00 1.08261224e-01
9.59636364e+00 1.09582778e-01
9.69727273e+00 1.11304323e-01
9.79818182e+00 1.04978401e-01
9.89909091e+00 1.09387201e-01
1.00000000e+01 1.05198928e-01
