# temperature_kelvin sz-expectation_hbar
1.00000000e-02 9.97311911e-01
1.10909091e-01 9.70554462e-01
2.11818182e-01 9.45999026e-01
3.12727273e-01 9.21427376e-01
4.13636364e-01 8.99542474e-01
5.14545455e-01 8.78836814e-01
6.15454545e-01 8.61500009e-01
7.16363636e-01 8.45452926e-01
8.17272727e-01 8.23949247e-01
9.18181818e-01 7.78738291e-01
1.01909091e+00 7.02027419e-01
1.12000000e+00 6.14896775e-01
1.22090909e+00 5.78175591e-01
1.32181818e+00 5.76870224e-01
1.42272727e+00 5.75134386e-01
1.52363636e+00 5.67503730e-01
1.62454545e+00 5.53287560e-01
1.72545455e+00 5.42948387e-01
1.82636364e+00 5.25228747e-01
1.92727273e+00 5.13113240e-01
2.02818182e+00 4.91110396e-01
2.12909091e+00 4.89797442e-01
2.23000000e+00 4.72277333e-01
2.33090909e+00 4.56551424e-01
2.43181818e+00 4.46338253e-01
2.53272727e+00 4.20917916e-01
2.63363636e+00 4.22886047e-01
2.73454545e+00 4.07012769e-01
2.83545455e+00 4.06428271e-01
2.93636364e+00 3.86332750e-01
3.03727273e+00 3.69620065e-01
3.13818182e+00 3.61599727e-01
3.23909091e+00 3.59601695e-01
3.34000000e+00 3.43029307e-01
3.44090909e+00 3.32755543e-01
3.54181818e+00 3.24894387e-01
3.64272727e+00 3.20532949e-01
3.74363636e+00 3.16822968e-01
3.84454545e+00 3.06641956e-01
3.94545455e+00 2.85961119e-01
4.04636364e+00 2.98247546e-01
4.14727273e+00 2.81844203e-01
4.24818182e+00 2.79781144e-01
4.34909091e+00 2.67505544e-01
4.45000000e+00 2.61607022e-01
4.55090909e+00 2.58942698e-01
4.65181818e+00 2.60540825e-01
4.75272727e+00 2.59590386e-01
4.85363636e+00 2.35742694e-01
4.95454545e+00 2.38748206e-01
5.05545455e+00 2.39125280e-01
5.15636364e+00 2.35220410e-01
5.25727273e+00 2.20419897e-01
5.35818182e+00 2.17445963e-01
5.45909091e+00 2.20851184e-01
5.56000000e+00 2.16114821e-01
5.66090909e+00 2.10526958e-01
5.76181818e+00 2.07659902e-01
5.86272727e+00 2.07992415e-01
5.96363636e+00 1.93927203e-01
6.06454545e+00 1.92196401e-01
6.16545455e+00 1.85528733e-01
6.26636364e+00 1.89807467e-01
6.36727273e+00 1.85964736e-01
6.46818182e+00 1.83254990e-01
6.56909091e+00 1.74470089e-01
6.67000000e+00 1.67829434e-01
6.77090909e+00 1.68261232e-01
6.87181818e+00 1.66632900e-01
6.97272727e+00 1.67784697e-01
7.07363636e+00 1.63672137e-01
7.17454545e+00 1.54870829e-01
7.27545455e+00 1.57152003e-01
7.37636364e+00 1.57031336e-01
7.47727273e+00 1.48635148e-01
7.57818182e+00 1.52316661e-01
7.67909091e+00 1.52635399e-01
7.78000000e+00 1.49547450e-01
7.88090909e+00 1.49319980e-01
7.98181818e+00 1.33702360e-01
8.08272727e+00 1.38192618e-01
8.18363636e+00 1.34924151e-01
8.28454545e+00 1.32911249e-01
8.38545455e+00 1.36387696e-01
8.48636364e+00 1.32866904e-01
8.58727273e+00 1.33692414e-01
8.68818182e+00 1.31341085e-01
8.78909091e+00 1.33343833e-01
8.89000000e+00 1.24170427e-01
8.99090909e+00 1.20303799e-01
9.09181818e+00 1.16560244e-01
9.19272727e+00 1.23436637e-01
9.29363636e+00 1.12426876e-01
9.39454545e+00 1.12423951e-01
9.49545455e+00 1.17345097e-01
9.59636364e+00 1.25658032e-01
9.69727273e+00 1.13595613e-01
9.79818182e+00 1.15659673e-01
9.89909091e+00 1.09463510e-01
1.00000000e+01 1.07389413e-01
