# temperature_kelvin sz-expectation_hbar
1.00000000e-01 4.99999279e-01
2.00000000e-01 4.99398258e-01
3.00000000e-01 4.94227156e-01
4.00000000e-01 4.81557511e-01
5.00000000e-01 4.62070728e-01
6.00000000e-01 4.37915025e-01
7.00000000e-01 4.11415946e-01
8.00000000e-01 3.84465637e-01
9.00000000e-01 3.58342341e-01
1.00000000e+00 3.33778881e-01
1.10000000e+00 3.11113926e-01
1.20000000e+00 2.90435501e-01
1.30000000e+00 2.71687746e-01
1.40000000e+00 2.54741151e-01
1.50000000e+00 2.39435256e-01
1.60000000e+00 2.25603001e-01
1.70000000e+00 2.13083665e-01
1.80000000e+00 2.01729051e-01
1.90000000e+00 1.91405820e-01
2.00000000e+00 1.81995738e-01
2.10000000e+00 1.73394858e-01
2.20000000e+00 1.65512238e-01
2.30000000e+00 1.58268490e-01
2.40000000e+00 1.51594364e-01
2.50000000e+00 1.45429419e-01
2.60000000e+00 1.39720841e-01
2.70000000e+00 1.34422396e-01
2.80000000e+00 1.29493523e-01
2.90000000e+00 1.24898558e-01
3.00000000e+00 1.20606063e-01
3.10000000e+00 1.16588253e-01
3.20000000e+00 1.12820508e-01
3.30000000e+00 1.09280956e-01
3.40000000e+00 1.05950116e-01
3.50000000e+00 1.02810592e-01
3.60000000e+00 9.98468117e-02
3.70000000e+00 9.70448004e-02
3.80000000e+00 9.43919885e-02
3.90000000e+00 9.18770438e-02
4.00000000e+00 8.94897266e-02
4.10000000e+00 8.72207643e-02
4.20000000e+00 8.50617428e-02
4.30000000e+00 8.30050115e-02
4.40000000e+00 8.10436001e-02
4.50000000e+00 7.91711464e-02
4.60000000e+00 7.73818322e-02
4.70000000e+00 7.56703279e-02
4.80000000e+00 7.40317427e-02
4.90000000e+00 7.24615813e-02
5.00000000e+00 7.09557051e-02
5.10000000e+00 6.95102982e-02
5.20000000e+00 6.81218370e-02
5.30000000e+00 6.67870628e-02
5.40000000e+00 6.55029579e-02
5.50000000e+00 6.42667243e-02
5.60000000e+00 6.30757635e-02
5.70000000e+00 6.19276601e-02
5.80000000e+00 6.08201655e-02
5.90000000e+00 5.97511843e-02
6.00000000e+00 5.87187611e-02
6.10000000e+00 5.77210698e-02
6.20000000e+00 5.67564027e-02
6.30000000e+00 5.58231611e-02
6.40000000e+00 5.49198471e-02
6.50000000e+00 5.40450559e-02
6.60000000e+00 5.31974682e-02
6.70000000e+00 5.23758445e-02
6.80000000e+00 5.15790187e-02
6.90000000e+00 5.08058931e-02
7.00000000e+00 5.00554335e-02
7.10000000e+00 4.93266643e-02
7.20000000e+00 4.86186650e-02
7.30000000e+00 4.79305659e-02
7.40000000e+00 4.72615451e-02
7.50000000e+00 4.66108248e-02
7.60000000e+00 4.59776690e-02
7.70000000e+00 4.53613800e-02
7.80000000e+00 4.47612967e-02
7.90000000e+00 4.41767918e-02
8.00000000e+00 4.36072698e-02
8.10000000e+00 4.30521649e-02
8.20000000e+00 4.25109394e-02
8.30000000e+00 4.19830818e-02
8.40000000e+00 4.14681054e-02
8.50000000e+00 4.09655467e-02
8.60000000e+00 4.04749640e-02
8.70000000e+00 3.99959363e-02
8.80000000e+00 3.95280620e-02
8.90000000e+00 3.90709577e-02
9.00000000e+00 3.86242574e-02
9.10000000e+00 3.81876114e-02
9.20000000e+00 3.77606855e-02
9.30000000e+00 3.73431600e-02
9.40000000e+00 3.69347290e-02
9.50000000e+00 3.65350999e-02
9.60000000e+00 3.61439921e-02
9.70000000e+00 3.57611370e-02
9.80000000e+00 3.53862772e-02
9.90000000e+00 3.50191656e-02
1.00000000e+01 3.46595653e-02
