# temperature_kelvin sz-expectation_hbar
1.00000000e-01 8.84991807e-01
2.00000000e-01 7.73775471e-01
3.00000000e-01 6.57056758e-01
4.00000000e-01 5.43515573e-01
5.00000000e-01 4.65129904e-01
6.00000000e-01 3.88743873e-01
7.00000000e-01 3.45836985e-01
8.00000000e-01 2.95316861e-01
9.00000000e-01 2.70103459e-01
1.00000000e+00 2.39425343e-01
1.10000000e+00 2.15092427e-01
1.20000000e+00 2.00932233e-01
1.30000000e+00 1.77439221e-01
1.40000000e+00 1.66136563e-01
1.50000000e+00 1.54730106e-01
1.60000000e+00 1.49818859e-01
1.70000000e+00 1.37842719e-01
1.80000000e+00 1.30709686e-01
1.90000000e+00 1.24667181e-01
2.00000000e+00 1.18807376e-01
2.10000000e+00 1.14930618e-01
2.20000000e+00 1.02249384e-01
2.30000000e+00 1.05493230e-01
2.40000000e+00 9.64217097e-02
2.50000000e+00 9.34596047e-02
2.60000000e+00 9.38100569e-02
2.70000000e+00 8.70882501e-02
2.80000000e+00 8.39082889e-02
2.90000000e+00 8.24263271e-02
3.00000000e+00 8.05817450e-02
3.10000000e+00 7.58125273e-02
3.20000000e+00 7.03683940e-02
3.30000000e+00 7.13988304e-02
3.40000000e+00 6.70501398e-02
3.50000000e+00 6.48374643e-02
3.60000000e+00 6.36433940e-02
3.70000000e+00 6.03770027e-02
3.80000000e+00 6.05873191e-02
3.90000000e+00 6.32300566e-02
4.00000000e+00 5.27228896e-02
4.10000000e+00 5.71625973e-02
4.20000000e+00 5.80837997e-02
4.30000000e+00 5.36170745e-02
4.40000000e+00 5.23758832e-02
4.50000000e+00 5.04015284e-02
4.60000000e+00 5.02847953e-02
4.70000000e+00 4.57671822e-02
4.80000000e+00 4.60092984e-02
4.90000000e+00 4.76158207e-02
5.00000000e+00 4.81513935e-02
5.10000000e+00 4.29697336e-02
5.20000000e+00 4.46378027e-02
5.30000000e+00 4.23996883e-02
5.40000000e+00 4.28464294e-02
5.50000000e+00 4.10412428e-02
5.60000000e+00 4.07634826e-02
5.70000000e+00 4.04415446e-02
5.80000000e+00 4.10557249e-02
5.90000000e+00 4.00303137e-02
6.00000000e+00 3.22931958e-02
6.10000000e+00 3.82922978e-02
6.20000000e+00 3.67473089e-02
6.30000000e+00 3.59559302e-02
6.40000000e+00 3.67825026e-02
6.50000000e+00 3.69873555e-02
6.60000000e+00 3.53337995e-02
6.70000000e+00 3.15380742e-02
6.80000000e+00 3.60765980e-02
6.90000000e+00 2.90718605e-02
7.00000000e+00 3.10401003e-02
7.10000000e+00 3.19053189e-02
7.20000000e+00 2.95948231e-02
7.30000000e+00 3.23222834e-02
7.40000000e+00 3.02864396e-02
7.50000000e+00 3.13952943e-02
7.60000000e+00 3.01936863e-02
7.70000000e+00 2.87194550e-02
7.80000000e+00 2.90155382e-02
7.90000000e+00 3.03023639e-02
8.00000000e+00 2.85305475e-02
8.10000000e+00 2.70164050e-02
8.20000000e+00 2.16072095e-02
8.30000000e+00 2.78802167e-02
8.40000000e+00 2.75772146e-02
8.50000000e+00 2.40004840e-02
8.60000000e+00 2.67342692e-02
8.70000000e+00 2.37854919e-02
8.80000000e+00 2.51768125e-02
8.90000000e+00 2.53866755e-02
9.00000000e+00 2.51136501e-02
9.10000000e+00 2.76685445e-02
9.20000000e+00 2.52356172e-02
9.30000000e+00 2.27918448e-02
9.40000000e+00 2.25560123e-02
9.50000000e+00 2.51836177e-02
9.60000000e+00 2.14626497e-02
9.70000000e+00 2.16647454e-02
9.80000000e+00 2.37909725e-02
9.90000000e+00 2.23380454e-02
1.00000000e+01 2.03775340e-02
