# temperature_kelvin sz-expectation_hbar
1.00000000e-01 3.25939986e-01
2.00000000e-01 3.30904483e-01
3.00000000e-01 3.25730362e-01
4.00000000e-01 3.24362074e-01
5.00000000e-01 3.13356220e-01
6.00000000e-01 2.92751855e-01
7.00000000e-01 2.62540267e-01
8.00000000e-01 2.50866166e-01
9.00000000e-01 2.33488411e-01
1.00000000e+00 2.34641441e-01
1.10000000e+00 2.02915798e-01
1.20000000e+00 1.91167389e-01
1.30000000e+00 1.84339851e-01
1.40000000e+00 1.63823228e-01
1.50000000e+00 1.57728081e-01
1.60000000e+00 1.51926995e-01
1.70000000e+00 1.43666420e-01
1.80000000e+00 1.36773938e-01
1.90000000e+00 1.28524974e-01
2.00000000e+00 1.21391611e-01
2.10000000e+00 1.20095789e-01
2.20000000e+00 1.08053016e-01
2.30000000e+00 1.10253565e-01
2.40000000e+00 1.04011861e-01
2.50000000e+00 1.00023707e-01
2.60000000e+00 1.01990762e-01
2.70000000e+00 9.25395674e-02
2.80000000e+00 8.79449492e-02
2.90000000e+00 8.39235752e-02
3.00000000e+00 8.26408659e-02
3.10000000e+00 8.24693237e-02
3.20000000e+00 7.29606591e-02
3.30000000e+00 6.80560684e-02
3.40000000e+00 7.06931034e-02
3.50000000e+00 6.68687358e-02
3.60000000e+00 6.64651272e-02
3.70000000e+00 6.42271253e-02
3.80000000e+00 6.30109577e-02
3.90000000e+00 6.16526704e-02
4.00000000e+00 6.08274696e-02
4.10000000e+00 5.65105325e-02
4.20000000e+00 5.31738332e-02
4.30000000e+00 5.28912009e-02
4.40000000e+00 5.37778798e-02
4.50000000e+00 5.73841969e-02
4.60000000e+00 5.35115939e-02
4.70000000e+00 5.41770006e-02
4.80000000e+00 4.84793295e-02
4.90000000e+00 4.67172884e-02
5.00000000e+00 4.82976139e-02
5.10000000e+00 4.72768520e-02
5.20000000e+00 4.40285991e-02
5.30000000e+00 4.39100356e-02
5.40000000e+00 4.27089700e-02
5.50000000e+00 4.09422164e-02
5.60000000e+00 4.12057561e-02
5.70000000e+00 3.94547787e-02
5.80000000e+00 3.75574981e-02
5.90000000e+00 3.99306499e-02
6.00000000e+00 3.74021099e-02
6.10000000e+00 3.98205397e-02
6.20000000e+00 3.72802345e-02
6.30000000e+00 4.02955362e-02
6.40000000e+00 3.51597975e-02
6.50000000e+00 3.55122609e-02
6.60000000e+00 3.73695606e-02
6.70000000e+00 3.25003386e-02
6.80000000e+00 3.24629635e-02
6.90000000e+00 3.31223520e-02
7.00000000e+00 3.28888870e-02
7.10000000e+00 3.07477451e-02
7.20000000e+00 3.24444117e-02
7.30000000e+00 2.99213461e-02
7.40000000e+00 2.81178830e-02
7.50000000e+00 2.82061381e-02
7.60000000e+00 2.86985140e-02
7.70000000e+00 2.71633553e-02
7.80000000e+00 2.94362654e-02
7.90000000e+00 2.92519325e-02
8.00000000e+00 2.95035997e-02
8.10000000e+00 2.94238661e-02
8.20000000e+00 2.49170125e-02
8.30000000e+00 2.96825738e-02
8.40000000e+00 2.88067889e-02
8.50000000e+00 2.56163764e-02
8.60000000e+00 2.75734251e-02
8.70000000e+00 2.38462031e-02
8.80000000e+00 2.56331393e-02
8.90000000e+00 2.49369688e-02
9.00000000e+00 2.44097372e-02
9.10000000e+00 2.44566681e-02
9.20000000e+00 2.37725338e-02
9.30000000e+00 2.39300506e-02
9.40000000e+00 2.33519002e-02
9.50000000e+00 2.44944647e-02
9.60000000e+00 2.62462480e-02
9.70000000e+00 2.26153302e-02
9.80000000e+00 2.24537059e-02
9.90000000e+00 2.22712114e-02
1.00000000e+01 2.59581581e-02
