# temperature_kelvin sz-expectation_hbar
1.00000000e-01 1.99999928e+00
2.00000000e-01 1.99939897e+00
3.00000000e-01 1.99428735e+00
4.00000000e-01 1.98205323e+00
5.00000000e-01 1.96358599e+00
6.00000000e-01 1.94053152e+00
7.00000000e-01 1.91421155e+00
8.00000000e-01 1.88552954e+00
9.00000000e-01 1.85507796e+00
1.00000000e+00 1.82324775e+00
1.10000000e+00 1.79030850e+00
1.20000000e+00 1.75646166e+00
1.30000000e+00 1.72187355e+00
1.40000000e+00 1.68669420e+00
1.50000000e+00 1.65106685e+00
1.60000000e+00 1.61513172e+00
1.70000000e+00 1.57902631e+00
1.80000000e+00 1.54288419e+00
1.90000000e+00 1.50683299e+00
2.00000000e+00 1.47099258e+00
2.10000000e+00 1.43547340e+00
2.20000000e+00 1.40037531e+00
2.30000000e+00 1.36578692e+00
2.40000000e+00 1.33178528e+00
2.50000000e+00 1.29843602e+00
2.60000000e+00 1.26579372e+00
2.70000000e+00 1.23390253e+00
2.80000000e+00 1.20279691e+00
2.90000000e+00 1.17250248e+00
3.00000000e+00 1.14303688e+00
3.10000000e+00 1.11441069e+00
3.20000000e+00 1.08662829e+00
3.30000000e+00 1.05968869e+00
3.40000000e+00 1.03358630e+00
3.50000000e+00 1.00831165e+00
3.60000000e+00 9.83852035e-01
3.70000000e+00 9.60192120e-01
3.80000000e+00 9.37314429e-01
3.90000000e+00 9.15199820e-01
4.00000000e+00 8.93827878e-01
4.10000000e+00 8.73177266e-01
4.20000000e+00 8.53226015e-01
4.30000000e+00 8.33951781e-01
4.40000000e+00 8.15332056e-01
4.50000000e+00 7.97344348e-01
4.60000000e+00 7.79966329e-01
4.70000000e+00 7.63175955e-01
4.80000000e+00 7.46951565e-01
4.90000000e+00 7.31271958e-01
5.00000000e+00 7.16116455e-01
5.10000000e+00 7.01464945e-01
5.20000000e+00 6.87297917e-01
5.30000000e+00 6.73596485e-01
5.40000000e+00 6.60342402e-01
5.50000000e+00 6.47518068e-01
5.60000000e+00 6.35106529e-01
5.70000000e+00 6.23091474e-01
5.80000000e+00 6.11457227e-01
5.90000000e+00 6.00188738e-01
6.00000000e+00 5.89271566e-01
6.10000000e+00 5.78691865e-01
6.20000000e+00 5.68436368e-01
6.30000000e+00 5.58492367e-01
6.40000000e+00 5.48847694e-01
6.50000000e+00 5.39490704e-01
6.60000000e+00 5.30410253e-01
6.70000000e+00 5.21595681e-01
6.80000000e+00 5.13036789e-01
6.90000000e+00 5.04723825e-01
7.00000000e+00 4.96647459e-01
7.10000000e+00 4.88798771e-01
7.20000000e+00 4.81169228e-01
7.30000000e+00 4.73750670e-01
7.40000000e+00 4.66535292e-01
7.50000000e+00 4.59515629e-01
7.60000000e+00 4.52684537e-01
7.70000000e+00 4.46035183e-01
7.80000000e+00 4.39561029e-01
7.90000000e+00 4.33255815e-01
8.00000000e+00 4.27113551e-01
8.10000000e+00 4.21128501e-01
8.20000000e+00 4.15295174e-01
8.30000000e+00 4.09608307e-01
8.40000000e+00 4.04062863e-01
8.50000000e+00 3.98654011e-01
8.60000000e+00 3.93377124e-01
8.70000000e+00 3.88227764e-01
8.80000000e+00 3.83201678e-01
8.90000000e+00 3.78294784e-01
9.00000000e+00 3.73503169e-01
9.10000000e+00 3.68823076e-01
9.20000000e+00 3.64250899e-01
9.30000000e+00 3.59783177e-01
9.40000000e+00 3.55416586e-01
9.50000000e+00 3.51147932e-01
9.60000000e+00 3.46974147e-01
9.70000000e+00 3.42892284e-01
9.80000000e+00 3.38899507e-01
9.90000000e+00 3.34993090e-01
1.00000000e+01 3.31170413e-01
