# temperature_kelvin sz-expectation_hbar
1.00000000e-01 9.77538321e-01
2.00000000e-01 9.54186552e-01
3.00000000e-01 9.33011641e-01
4.00000000e-01 9.09729633e-01
5.00000000e-01 8.89225866e-01
6.00000000e-01 8.64849882e-01
7.00000000e-01 8.39236469e-01
8.00000000e-01 8.22984559e-01
9.00000000e-01 7.96312009e-01
1.00000000e+00 7.69380548e-01
1.10000000e+00 7.47143949e-01
1.20000000e+00 7.30414891e-01
1.30000000e+00 7.07401902e-01
1.40000000e+00 6.79253040e-01
1.50000000e+00 6.60558519e-01
1.60000000e+00 6.46637599e-01
1.70000000e+00 6.11282305e-01
1.80000000e+00 5.95198833e-01
1.90000000e+00 5.78049217e-01
2.00000000e+00 5.58883780e-01
2.10000000e+00 5.39848048e-01
2.20000000e+00 5.19903167e-01
2.30000000e+00 4.87730999e-01
2.40000000e+00 4.91600650e-01
2.50000000e+00 4.73675301e-01
2.60000000e+00 4.46720967e-01
2.70000000e+00 4.29427606e-01
2.80000000e+00 4.23373754e-01
2.90000000e+00 4.19071105e-01
3.00000000e+00 4.01881421e-01
3.10000000e+00 3.85073892e-01
3.20000000e+00 3.75685626e-01
3.30000000e+00 3.69221482e-01
3.40000000e+00 3.55700082e-01
3.50000000e+00 3.47268708e-01
3.60000000e+00 3.30438214e-01
3.70000000e+00 3.24122447e-01
3.80000000e+00 3.08124150e-01
3.90000000e+00 2.94216668e-01
4.00000000e+00 2.98866596e-01
4.10000000e+00 2.89992912e-01
4.20000000e+00 2.84089982e-01
4.30000000e+00 2.67866008e-01
4.40000000e+00 2.61553234e-01
4.50000000e+00 2.55579527e-01
4.60000000e+00 2.50406960e-01
4.70000000e+00 2.45683893e-01
4.80000000e+00 2.45440565e-01
4.90000000e+00 2.24960085e-01
5.00000000e+00 2.29987570e-01
5.10000000e+00 2.22120179e-01
5.20000000e+00 2.19371758e-01
5.30000000e+00 2.24917165e-01
5.40000000e+00 2.11603555e-01
5.50000000e+00 2.04711997e-01
5.60000000e+00 2.00705460e-01
5.70000000e+00 1.97259647e-01
5.80000000e+00 1.94932982e-01
5.90000000e+00 1.90730170e-01
6.00000000e+00 1.93930029e-01
6.10000000e+00 1.92247487e-01
6.20000000e+00 1.83781254e-01
6.30000000e+00 1.77873702e-01
6.40000000e+00 1.72196645e-01
6.50000000e+00 1.65523663e-01
6.60000000e+00 1.67934000e-01
6.70000000e+00 1.68393069e-01
6.80000000e+00 1.62886077e-01
6.90000000e+00 1.60157085e-01
7.00000000e+00 1.51544814e-01
7.10000000e+00 1.55371459e-01
7.20000000e+00 1.45329918e-01
7.30000000e+00 1.55098170e-01
7.40000000e+00 1.42095756e-01
7.50000000e+00 1.41407169e-01
7.60000000e+00 1.41347310e-01
7.70000000e+00 1.42861893e-01
7.80000000e+00 1.42219445e-01
7.90000000e+00 1.36211825e-01
8.00000000e+00 1.28742533e-01
8.10000000e+00 1.37562504e-01
8.20000000e+00 1.34198696e-01
8.30000000e+00 1.25698683e-01
8.40000000e+00 1.30716211e-01
8.50000000e+00 1.25399543e-01
8.60000000e+00 1.20761007e-01
8.70000000e+00 1.22738092e-01
8.80000000e+00 1.19828267e-01
8.90000000e+00 1.19526407e-01
9.00000000e+00 1.16216635e-01
9.10000000e+00 1.21642724e-01
9.20000000e+00 1.15534130e-01
9.30000000e+00 1.11605204e-01
9.40000000e+00 1.16081451e-01
9.50000000e+00 1.07635102e-01
9.60000000e+00 1.12524118e-01
9.70000000e+00 1.13476577e-01
9.80000000e+00 1.05600879e-01
9.90000000e+00 1.01645433e-01
1.00000000e+01 1.04913212e-01
