# temperature_kelvin sz-expectation_hbar
1.00000000e-01 6.67775634e-01
2.00000000e-01 6.61799659e-01
3.00000000e-01 6.63018037e-01
4.00000000e-01 6.64823989e-01
5.00000000e-01 6.50131503e-01
6.00000000e-01 6.48645604e-01
7.00000000e-01 6.33336499e-01
8.00000000e-01 6.23907660e-01
9.00000000e-01 6.20144965e-01
1.00000000e+00 6.05390262e-01
1.10000000e+00 5.97310064e-01
1.20000000e+00 5.93435917e-01
1.30000000e+00 5.78512528e-01
1.40000000e+00 5.60072016e-01
1.50000000e+00 5.48786397e-01
1.60000000e+00 5.39889782e-01
1.70000000e+00 5.28096639e-01
1.80000000e+00 5.09307051e-01
1.90000000e+00 4.98231620e-01
2.00000000e+00 4.95963079e-01
2.10000000e+00 4.75714959e-01
2.20000000e+00 4.74616636e-01
2.30000000e+00 4.58668839e-01
2.40000000e+00 4.49571653e-01
2.50000000e+00 4.30158317e-01
2.60000000e+00 4.23113649e-01
2.70000000e+00 4.15784571e-01
2.80000000e+00 3.95430175e-01
2.90000000e+00 3.94550330e-01
3.00000000e+00 3.92139267e-01
3.10000000e+00 3.65179457e-01
3.20000000e+00 3.60541666e-01
3.30000000e+00 3.53417212e-01
3.40000000e+00 3.46547281e-01
3.50000000e+00 3.42074303e-01
3.60000000e+00 3.37179875e-01
3.70000000e+00 3.25959481e-01
3.80000000e+00 3.22528570e-01
3.90000000e+00 3.13892798e-01
4.00000000e+00 3.12558248e-01
4.10000000e+00 2.97194528e-01
4.20000000e+00 2.90332243e-01
4.30000000e+00 2.84841968e-01
4.40000000e+00 2.75660185e-01
4.50000000e+00 2.68689653e-01
4.60000000e+00 2.75355720e-01
4.70000000e+00 2.67457235e-01
4.80000000e+00 2.56150811e-01
4.90000000e+00 2.48816241e-01
5.00000000e+00 2.48138082e-01
5.10000000e+00 2.39783185e-01
5.20000000e+00 2.34531070e-01
5.30000000e+00 2.29917147e-01
5.40000000e+00 2.29957815e-01
5.50000000e+00 2.24488998e-01
5.60000000e+00 2.24638683e-01
5.70000000e+00 2.17903893e-01
5.80000000e+00 2.06621232e-01
5.90000000e+00 2.13290689e-01
6.00000000e+00 2.08286004e-01
6.10000000e+00 2.02696086e-01
6.20000000e+00 1.90729899e-01
6.30000000e+00 1.98084634e-01
6.40000000e+00 1.86249699e-01
6.50000000e+00 1.82789116e-01
6.60000000e+00 1.87527873e-01
6.70000000e+00 1.83728557e-01
6.80000000e+00 1.85057775e-01
6.90000000e+00 1.80067290e-01
7.00000000e+00 1.77152662e-01
7.10000000e+00 1.75700494e-01
7.20000000e+00 1.74156229e-01
7.30000000e+00 1.61826536e-01
7.40000000e+00 1.71901255e-01
7.50000000e+00 1.63625061e-01
7.60000000e+00 1.55760755e-01
7.70000000e+00 1.57963585e-01
7.80000000e+00 1.60722786e-01
7.90000000e+00 1.52730067e-01
8.00000000e+00 1.50572392e-01
8.10000000e+00 1.44108610e-01
8.20000000e+00 1.52430248e-01
8.30000000e+00 1.46951788e-01
8.40000000e+00 1.47919075e-01
8.50000000e+00 1.45681184e-01
8.60000000e+00 1.41776779e-01
8.70000000e+00 1.37411950e-01
8.80000000e+00 1.35810481e-01
8.90000000e+00 1.35659622e-01
9.00000000e+00 1.37196459e-01
9.10000000e+00 1.32548820e-01
9.20000000e+00 1.31549219e-01
9.30000000e+00 1.28987739e-01
9.40000000e+00 1.26853114e-01
9.50000000e+00 1.20872511e-01
9.60000000e+00 1.27503576e-01
9.70000000e+00 1.23921387e-01
9.80000000e+00 1.24918697e-01
9.90000000e+00 1.19621370e-01
1.00000000e+01 1.15293477e-01
