# temperature_kelvin sz-expectation_hbar
1.00000000e-01 7.20728002e-07
2.00000000e-01 5.99582097e-04
3.00000000e-01 5.58360619e-03
4.00000000e-01 1.67045316e-02
5.00000000e-01 3.14922878e-02
6.00000000e-01 4.69632617e-02
7.00000000e-01 6.11726433e-02
8.00000000e-01 7.32106359e-02
9.00000000e-01 8.28450999e-02
1.00000000e+00 9.02067878e-02
1.10000000e+00 9.55843662e-02
1.20000000e+00 9.93091272e-02
1.30000000e+00 1.01697683e-01
1.40000000e+00 1.03028001e-01
1.50000000e+00 1.03532967e-01
1.60000000e+00 1.03402311e-01
1.70000000e+00 1.02787906e-01
1.80000000e+00 1.01809949e-01
1.90000000e+00 1.00562853e-01
2.00000000e+00 9.91203890e-02
2.10000000e+00 9.75399750e-02
2.20000000e+00 9.58661549e-02
2.30000000e+00 9.41333751e-02
2.40000000e+00 9.23681780e-02
2.50000000e+00 9.05909261e-02
2.60000000e+00 8.88171504e-02
2.70000000e+00 8.70586060e-02
2.80000000e+00 8.53240962e-02
2.90000000e+00 8.36201174e-02
3.00000000e+00 8.19513634e-02
3.10000000e+00 8.03211211e-02
3.20000000e+00 7.87315804e-02
3.30000000e+00 7.71840788e-02
3.40000000e+00 7.56792926e-02
3.50000000e+00 7.42173887e-02
3.60000000e+00 7.27981433e-02
3.70000000e+00 7.14210367e-02
3.80000000e+00 7.00853267e-02
3.90000000e+00 6.87901079e-02
4.00000000e+00 6.75343578e-02
4.10000000e+00 6.63169727e-02
4.20000000e+00 6.51367970e-02
4.30000000e+00 6.39926449e-02
4.40000000e+00 6.28833182e-02
4.50000000e+00 6.18076195e-02
4.60000000e+00 6.07643631e-02
4.70000000e+00 5.97523822e-02
4.80000000e+00 5.87705350e-02
4.90000000e+00 5.78177093e-02
5.00000000e+00 5.68928252e-02
5.10000000e+00 5.59948371e-02
5.20000000e+00 5.51227352e-02
5.30000000e+00 5.42755460e-02
5.40000000e+00 5.34523324e-02
5.50000000e+00 5.26521936e-02
5.60000000e+00 5.18742646e-02
5.70000000e+00 5.11177152e-02
5.80000000e+00 5.03817496e-02
5.90000000e+00 4.96656051e-02
6.00000000e+00 4.89685509e-02
6.10000000e+00 4.82898873e-02
6.20000000e+00 4.76289443e-02
6.30000000e+00 4.69850805e-02
6.40000000e+00 4.63576820e-02
6.50000000e+00 4.57461611e-02
6.60000000e+00 4.51499553e-02
6.70000000e+00 4.45685262e-02
6.80000000e+00 4.40013582e-02
6.90000000e+00 4.34479578e-02
7.00000000e+00 4.29078523e-02
7.10000000e+00 4.23805891e-02
7.20000000e+00 4.18657344e-02
7.30000000e+00 4.13628728e-02
7.40000000e+00 4.08716061e-02
7.50000000e+00 4.03915525e-02
7.60000000e+00 3.99223460e-02
7.70000000e+00 3.94636357e-02
7.80000000e+00 3.90150847e-02
7.90000000e+00 3.85763699e-02
8.00000000e+00 3.81471811e-02
8.10000000e+00 3.77272206e-02
8.20000000e+00 3.73162024e-02
8.30000000e+00 3.69138516e-02
8.40000000e+00 3.65199044e-02
8.50000000e+00 3.61341068e-02
8.60000000e+00 3.57562150e-02
8.70000000e+00 3.53859942e-02
8.80000000e+00 3.50232188e-02
8.90000000e+00 3.46676713e-02
9.00000000e+00 3.43191428e-02
9.10000000e+00 3.39774318e-02
9.20000000e+00 3.36423444e-02
9.30000000e+00 3.33136937e-02
9.40000000e+00 3.29912998e-02
9.50000000e+00 3.26749890e-02
9.60000000e+00 3.23645939e-02
9.70000000e+00 3.20599532e-02
9.80000000e+00 3.17609111e-02
9.90000000e+00 3.14673173e-02
1.00000000e+01 3.11790268e-02
