# temperature_kelvin sz-expectation_hbar
1.00000000e-01 4.22971287e-01
2.00000000e-01 3.87169984e-01
3.00000000e-01 3.28718218e-01
4.00000000e-01 2.92680082e-01
5.00000000e-01 2.67211749e-01
6.00000000e-01 2.43032102e-01
7.00000000e-01 2.17209412e-01
8.00000000e-01 1.99518307e-01
9.00000000e-01 1.89463571e-01
1.00000000e+00 1.74576624e-01
1.10000000e+00 1.57325587e-01
1.20000000e+00 1.51276794e-01
1.30000000e+00 1.38900090e-01
1.40000000e+00 1.34917741e-01
1.50000000e+00 1.24310066e-01
1.60000000e+00 1.13677280e-01
1.70000000e+00 1.12489545e-01
1.80000000e+00 1.05430561e-01
1.90000000e+00 1.06762572e-01
2.00000000e+00 9.40459790e-02
2.10000000e+00 9.27302660e-02
2.20000000e+00 8.99438985e-02
2.30000000e+00 8.46786763e-02
2.40000000e+00 8.60942900e-02
2.50000000e+00 7.75979939e-02
2.60000000e+00 7.79139499e-02
2.70000000e+00 7.23189967e-02
2.80000000e+00 7.34781567e-02
2.90000000e+00 7.77323392e-02
3.00000000e+00 6.44900179e-02
3.10000000e+00 7.11178362e-02
3.20000000e+00 6.67153560e-02
3.30000000e+00 6.31393997e-02
3.40000000e+00 6.48026264e-02
3.50000000e+00 5.64984231e-02
3.60000000e+00 5.89378979e-02
3.70000000e+00 5.61535522e-02
3.80000000e+00 5.49841501e-02
3.90000000e+00 5.37926750e-02
4.00000000e+00 5.49219839e-02
4.10000000e+00 5.54577235e-02
4.20000000e+00 5.55999456e-02
4.30000000e+00 5.14437473e-02
4.40000000e+00 4.94125143e-02
4.50000000e+00 4.96898486e-02
4.60000000e+00 4.52906374e-02
4.70000000e+00 4.19419271e-02
4.80000000e+00 4.53435014e-02
4.90000000e+00 4.28496107e-02
5.00000000e+00 4.36985544e-02
5.10000000e+00 4.03889694e-02
5.20000000e+00 4.08258140e-02
5.30000000e+00 4.33298299e-02
5.40000000e+00 4.25301533e-02
5.50000000e+00 4.02706532e-02
5.60000000e+00 3.90088228e-02
5.70000000e+00 3.70695478e-02
5.80000000e+00 3.90669557e-02
5.90000000e+00 3.31777395e-02
6.00000000e+00 3.59748115e-02
6.10000000e+00 3.15370127e-02
6.20000000e+00 3.82432441e-02
6.30000000e+00 3.41519284e-02
6.40000000e+00 3.22125252e-02
6.50000000e+00 3.14898438e-02
6.60000000e+00 3.14054526e-02
6.70000000e+00 3.59324715e-02
6.80000000e+00 3.07832872e-02
6.90000000e+00 3.12415266e-02
7.00000000e+00 3.03969609e-02
7.10000000e+00 2.85242662e-02
7.20000000e+00 3.08419575e-02
7.30000000e+00 3.05561926e-02
7.40000000e+00 2.67780528e-02
7.50000000e+00 3.08714753e-02
7.60000000e+00 2.82883344e-02
7.70000000e+00 2.88082277e-02
7.80000000e+00 2.55848384e-02
7.90000000e+00 2.80630753e-02
8.00000000e+00 2.75988419e-02
8.10000000e+00 2.89222120e-02
8.20000000e+00 2.58265165e-02
8.30000000e+00 2.90986885e-02
8.40000000e+00 2.47462793e-02
8.50000000e+00 2.67742399e-02
8.60000000e+00 2.39460257e-02
8.70000000e+00 2.60066716e-02
8.80000000e+00 2.51985391e-02
8.90000000e+00 2.49569188e-02
9.00000000e+00 2.50096742e-02
9.10000000e+00 2.29353991e-02
9.20000000e+00 2.50047800e-02
9.30000000e+00 2.09912388e-02
9.40000000e+00 2.11875786e-02
9.50000000e+00 2.47229472e-02
9.60000000e+00 2.10556619e-02
9.70000000e+00 2.32796255e-02
9.80000000e+00 2.29163400e-02
9.90000000e+00 2.03853943e-02
1.00000000e+01 2.14598456e-02
