# temperature_kelvin sz-expectation_hbar
1.00000000e-01 -1.13685666e-02
2.00000000e-01 1.49373756e-02
3.00000000e-01 -2.20643108e-03
4.00000000e-01 1.17288245e-02
5.00000000e-01 2.19107496e-02
6.00000000e-01 3.66159902e-02
7.00000000e-01 3.95908732e-02
8.00000000e-01 4.62758391e-02
9.00000000e-01 5.47951019e-02
1.00000000e+00 6.36652301e-02
1.10000000e+00 6.55871046e-02
1.20000000e+00 6.89705082e-02
1.30000000e+00 7.00982144e-02
1.40000000e+00 6.63599157e-02
1.50000000e+00 7.03483915e-02
1.60000000e+00 6.67986876e-02
1.70000000e+00 6.95729364e-02
1.80000000e+00 6.99637112e-02
1.90000000e+00 6.40747101e-02
2.00000000e+00 6.32135412e-02
2.10000000e+00 6.31807246e-02
2.20000000e+00 6.33166516e-02
2.30000000e+00 5.93795064e-02
2.40000000e+00 6.24512583e-02
2.50000000e+00 6.12081081e-02
2.60000000e+00 5.46960719e-02
2.70000000e+00 5.64755653e-02
2.80000000e+00 5.52674489e-02
2.90000000e+00 5.37321561e-02
3.00000000e+00 5.21364396e-02
3.10000000e+00 5.60972862e-02
3.20000000e+00 5.30992828e-02
3.30000000e+00 5.35072597e-02
3.40000000e+00 5.48025482e-02
3.50000000e+00 5.05664173e-02
3.60000000e+00 4.80191224e-02
3.70000000e+00 4.80459512e-02
3.80000000e+00 4.51433312e-02
3.90000000e+00 4.85131368e-02
4.00000000e+00 4.64897404e-02
4.10000000e+00 4.28651350e-02
4.20000000e+00 4.48618150e-02
4.30000000e+00 4.57088276e-02
4.40000000e+00 4.16618676e-02
4.50000000e+00 3.89697821e-02
4.60000000e+00 3.72964321e-02
4.70000000e+00 3.85274367e-02
4.80000000e+00 3.95729053e-02
4.90000000e+00 4.17571244e-02
5.00000000e+00 3.81943663e-02
5.10000000e+00 3.70227567e-02
5.20000000e+00 3.89588035e-02
5.30000000e+00 3.44401121e-02
5.40000000e+00 3.71115468e-02
5.50000000e+00 3.39424260e-02
5.60000000e+00 3.46406320e-02
5.70000000e+00 3.33910564e-02
5.80000000e+00 3.44906000e-02
5.90000000e+00 3.44855787e-02
6.00000000e+00 3.17033214e-02
6.10000000e+00 3.36008379e-02
6.20000000e+00 3.47972190e-02
6.30000000e+00 2.93223266e-02
6.40000000e+00 2.79787163e-02
6.50000000e+00 2.97941430e-02
6.60000000e+00 2.88682593e-02
6.70000000e+00 2.85766005e-02
6.80000000e+00 3.02705366e-02
6.90000000e+00 2.79889649e-02
7.00000000e+00 3.07011781e-02
7.10000000e+00 3.12727066e-02
7.20000000e+00 2.64370824e-02
7.30000000e+00 2.91395019e-02
7.40000000e+00 2.60758558e-02
7.50000000e+00 2.61965063e-02
7.60000000e+00 2.97574193e-02
7.70000000e+00 2.90015938e-02
7.80000000e+00 2.88295471e-02
7.90000000e+00 2.84122913e-02
8.00000000e+00 2.55445677e-02
8.10000000e+00 2.17793253e-02
8.20000000e+00 2.50943354e-02
8.30000000e+00 2.41922967e-02
8.40000000e+00 2.24414650e-02
8.50000000e+00 2.03127693e-02
8.60000000e+00 2.00895291e-02
8.70000000e+00 2.20473506e-02
8.80000000e+00 2.12586813e-02
8.90000000e+00 2.47143368e-02
9.00000000e+00 2.34357403e-02
9.10000000e+00 2.34459440e-02
9.20000000e+00 2.21481175e-02
9.30000000e+00 2.20242628e-02
9.40000000e+00 2.33827338e-02
9.50000000e+00 2.06183230e-02
9.60000000e+00 2.04988216e-02
9.70000000e+00 2.11622410e-02
9.80000000e+00 2.01717919e-02
9.90000000e+00 2.19537761e-02
1.00000000e+01 1.92793513e-02
