# temperature_kelvin sz-expectation_hbar
1.00000000e-01 7.20728002e-07
2.00000000e-01 5.99582099e-04
3.00000000e-01 5.58362229e-03
4.00000000e-01 1.67059231e-02
5.00000000e-01 3.15120804e-02
6.00000000e-01 4.70772892e-02
7.00000000e-01 6.15645790e-02
8.00000000e-01 7.41864980e-02
9.00000000e-01 8.48056133e-02
1.00000000e+00 9.35971692e-02
1.10000000e+00 1.00843145e-01
1.20000000e+00 1.06828427e-01
1.30000000e+00 1.11798622e-01
1.40000000e+00 1.15949774e-01
1.50000000e+00 1.19432228e-01
1.60000000e+00 1.22359253e-01
1.70000000e+00 1.24816070e-01
1.80000000e+00 1.26867553e-01
1.90000000e+00 1.28564194e-01
2.00000000e+00 1.29946444e-01
2.10000000e+00 1.31047758e-01
2.20000000e+00 1.31896649e-01
2.30000000e+00 1.32518060e-01
2.40000000e+00 1.32934245e-01
2.50000000e+00 1.33165342e-01
2.60000000e+00 1.33229736e-01
2.70000000e+00 1.33144295e-01
2.80000000e+00 1.32924532e-01
2.90000000e+00 1.32584712e-01
3.00000000e+00 1.32137943e-01
3.10000000e+00 1.31596248e-01
3.20000000e+00 1.30970630e-01
3.30000000e+00 1.30271139e-01
3.40000000e+00 1.29506928e-01
3.50000000e+00 1.28686319e-01
3.60000000e+00 1.27816859e-01
3.70000000e+00 1.26905375e-01
3.80000000e+00 1.25958036e-01
3.90000000e+00 1.24980402e-01
4.00000000e+00 1.23977475e-01
4.10000000e+00 1.22953747e-01
4.20000000e+00 1.21913246e-01
4.30000000e+00 1.20859579e-01
4.40000000e+00 1.19795966e-01
4.50000000e+00 1.18725281e-01
4.60000000e+00 1.17650083e-01
4.70000000e+00 1.16572646e-01
4.80000000e+00 1.15494987e-01
4.90000000e+00 1.14418889e-01
5.00000000e+00 1.13345930e-01
5.10000000e+00 1.12277496e-01
5.20000000e+00 1.11214806e-01
5.30000000e+00 1.10158927e-01
5.40000000e+00 1.09110788e-01
5.50000000e+00 1.08071196e-01
5.60000000e+00 1.07040849e-01
5.70000000e+00 1.06020345e-01
5.80000000e+00 1.05010193e-01
5.90000000e+00 1.04010826e-01
6.00000000e+00 1.03022603e-01
6.10000000e+00 1.02045821e-01
6.20000000e+00 1.01080722e-01
6.30000000e+00 1.00127495e-01
6.40000000e+00 9.91862858e-02
6.50000000e+00 9.82572007e-02
6.60000000e+00 9.73403095e-02
6.70000000e+00 9.64356508e-02
6.80000000e+00 9.55432354e-02
6.90000000e+00 9.46630492e-02
7.00000000e+00 9.37950566e-02
7.10000000e+00 9.29392028e-02
7.20000000e+00 9.20954159e-02
7.30000000e+00 9.12636095e-02
7.40000000e+00 9.04436844e-02
7.50000000e+00 8.96355300e-02
7.60000000e+00 8.88390263e-02
7.70000000e+00 8.80540449e-02
7.80000000e+00 8.72804505e-02
7.90000000e+00 8.65181017e-02
8.00000000e+00 8.57668522e-02
8.10000000e+00 8.50265516e-02
8.20000000e+00 8.42970462e-02
8.30000000e+00 8.35781797e-02
8.40000000e+00 8.28697938e-02
8.50000000e+00 8.21717288e-02
8.60000000e+00 8.14838240e-02
8.70000000e+00 8.08059183e-02
8.80000000e+00 8.01378505e-02
8.90000000e+00 7.94794597e-02
9.00000000e+00 7.88305853e-02
9.10000000e+00 7.81910678e-02
9.20000000e+00 7.75607487e-02
9.30000000e+00 7.69394707e-02
9.40000000e+00 7.63270779e-02
9.50000000e+00 7.57234162e-02
9.60000000e+00 7.51283331e-02
9.70000000e+00 7.45416781e-02
9.80000000e+00 7.39633023e-02
9.90000000e+00 7.33930593e-02
1.00000000e+01 7.28308045e-02
