# temperature_kelvin sz-expectation_hbar
1.00000000e-01 2.15932997e-01
2.00000000e-01 1.96706482e-01
3.00000000e-01 1.90286018e-01
4.00000000e-01 1.82216822e-01
5.00000000e-01 1.80696017e-01
6.00000000e-01 1.78421138e-01
7.00000000e-01 1.71339616e-01
8.00000000e-01 1.73741157e-01
9.00000000e-01 1.70793001e-01
1.00000000e+00 1.68949937e-01
1.10000000e+00 1.59545790e-01
1.20000000e+00 1.59737616e-01
1.30000000e+00 1.58059634e-01
1.40000000e+00 1.53739788e-01
1.50000000e+00 1.50536853e-01
1.60000000e+00 1.50350105e-01
1.70000000e+00 1.41986197e-01
1.80000000e+00 1.38002556e-01
1.90000000e+00 1.36324315e-01
2.00000000e+00 1.32739913e-01
2.10000000e+00 1.30516229e-01
2.20000000e+00 1.25156779e-01
2.30000000e+00 1.23539169e-01
2.40000000e+00 1.22989948e-01
2.50000000e+00 1.18201159e-01
2.60000000e+00 1.14095753e-01
2.70000000e+00 1.16036999e-01
2.80000000e+00 1.10724248e-01
2.90000000e+00 1.13314301e-01
3.00000000e+00 1.07162673e-01
3.10000000e+00 1.01724090e-01
3.20000000e+00 1.03957424e-01
3.30000000e+00 1.00880645e-01
3.40000000e+00 9.59548106e-02
3.50000000e+00 9.66772830e-02
3.60000000e+00 9.18197633e-02
3.70000000e+00 9.22073549e-02
3.80000000e+00 9.01495718e-02
3.90000000e+00 8.77258610e-02
4.00000000e+00 8.73214142e-02
4.10000000e+00 8.43646780e-02
4.20000000e+00 8.32796878e-02
4.30000000e+00 8.25166345e-02
4.40000000e+00 8.10549065e-02
4.50000000e+00 7.88171330e-02
4.60000000e+00 7.99398814e-02
4.70000000e+00 7.54302729e-02
4.80000000e+00 7.71905906e-02
4.90000000e+00 7.57880557e-02
5.00000000e+00 7.44178418e-02
5.10000000e+00 7.46578850e-02
5.20000000e+00 7.14382614e-02
5.30000000e+00 6.96610085e-02
5.40000000e+00 6.76103909e-02
5.50000000e+00 6.92084666e-02
5.60000000e+00 7.04668718e-02
5.70000000e+00 6.47794371e-02
5.80000000e+00 6.48009780e-02
5.90000000e+00 6.57085238e-02
6.00000000e+00 6.24685156e-02
6.10000000e+00 6.36931898e-02
6.20000000e+00 6.02309384e-02
6.30000000e+00 6.00427189e-02
6.40000000e+00 5.98331359e-02
6.50000000e+00 5.81700842e-02
6.60000000e+00 6.00535954e-02
6.70000000e+00 5.84043542e-02
6.80000000e+00 5.76399131e-02
6.90000000e+00 5.75627891e-02
7.00000000e+00 5.77472854e-02
7.10000000e+00 5.42495184e-02
7.20000000e+00 5.27052642e-02
7.30000000e+00 5.51029919e-02
7.40000000e+00 5.44248106e-02
7.50000000e+00 5.39765463e-02
7.60000000e+00 5.10817437e-02
7.70000000e+00 4.88928537e-02
7.80000000e+00 5.06495061e-02
7.90000000e+00 5.07575212e-02
8.00000000e+00 5.09236649e-02
8.10000000e+00 4.89891767e-02
8.20000000e+00 5.12856613e-02
8.30000000e+00 5.06360500e-02
8.40000000e+00 4.68731416e-02
8.50000000e+00 4.78399072e-02
8.60000000e+00 4.76482759e-02
8.70000000e+00 4.75009030e-02
8.80000000e+00 4.73838475e-02
8.90000000e+00 4.30385757e-02
9.00000000e+00 4.52689482e-02
9.10000000e+00 4.57819197e-02
9.20000000e+00 4.50379029e-02
9.30000000e+00 4.40275756e-02
9.40000000e+00 4.38654681e-02
9.50000000e+00 4.35669871e-02
9.60000000e+00 4.11948064e-02
9.70000000e+00 3.98674975e-02
9.80000000e+00 4.16539648e-02
9.90000000e+00 4.06502785e-02
1.00000000e+01 4.25166581e-02
