# temperature_kelvin sz-expectation_hbar
1.00000000e-01 -1.16704311e-03
2.00000000e-01 6.03017986e-03
3.00000000e-01 -1.41351750e-04
4.00000000e-01 4.21866846e-03
5.00000000e-01 1.64306991e-02
6.00000000e-01 2.77178460e-02
7.00000000e-01 3.11426017e-02
8.00000000e-01 3.46927034e-02
9.00000000e-01 4.51381901e-02
1.00000000e+00 4.89404726e-02
1.10000000e+00 5.37318875e-02
1.20000000e+00 5.02214708e-02
1.30000000e+00 5.32055583e-02
1.40000000e+00 5.75560783e-02
1.50000000e+00 6.01954129e-02
1.60000000e+00 6.13649672e-02
1.70000000e+00 6.04517216e-02
1.80000000e+00 6.21051999e-02
1.90000000e+00 6.88111513e-02
2.00000000e+00 6.14793502e-02
2.10000000e+00 6.33552131e-02
2.20000000e+00 6.15101413e-02
2.30000000e+00 6.37258042e-02
2.40000000e+00 6.60708445e-02
2.50000000e+00 6.60101438e-02
2.60000000e+00 6.84634222e-02
2.70000000e+00 6.74174033e-02
2.80000000e+00 6.60962414e-02
2.90000000e+00 6.72217035e-02
3.00000000e+00 6.31853481e-02
3.10000000e+00 6.54023890e-02
3.20000000e+00 6.79219202e-02
3.30000000e+00 6.90835179e-02
3.40000000e+00 6.58968081e-02
3.50000000e+00 6.34261947e-02
3.60000000e+00 6.64397905e-02
3.70000000e+00 6.07739472e-02
3.80000000e+00 6.38468897e-02
3.90000000e+00 6.11634839e-02
4.00000000e+00 6.25040880e-02
4.10000000e+00 6.16068620e-02
4.20000000e+00 6.10105234e-02
4.30000000e+00 6.02520296e-02
4.40000000e+00 6.01450815e-02
4.50000000e+00 5.85886438e-02
4.60000000e+00 6.14736812e-02
4.70000000e+00 5.66821842e-02
4.80000000e+00 5.58802054e-02
4.90000000e+00 5.73170167e-02
5.00000000e+00 5.50246722e-02
5.10000000e+00 5.42242587e-02
5.20000000e+00 5.58643806e-02
5.30000000e+00 5.63915721e-02
5.40000000e+00 5.50588245e-02
5.50000000e+00 5.32617643e-02
5.60000000e+00 5.53957988e-02
5.70000000e+00 5.15490480e-02
5.80000000e+00 5.22878092e-02
5.90000000e+00 5.33760218e-02
6.00000000e+00 5.19664617e-02
6.10000000e+00 4.74369540e-02
6.20000000e+00 5.09095757e-02
6.30000000e+00 4.83572889e-02
6.40000000e+00 4.76585846e-02
6.50000000e+00 4.74550902e-02
6.60000000e+00 4.90871740e-02
6.70000000e+00 4.50494415e-02
6.80000000e+00 4.52191439e-02
6.90000000e+00 4.36171183e-02
7.00000000e+00 4.74136928e-02
7.10000000e+00 4.53686520e-02
7.20000000e+00 4.65795864e-02
7.30000000e+00 4.28544011e-02
7.40000000e+00 4.50793431e-02
7.50000000e+00 4.50518230e-02
7.60000000e+00 4.49639757e-02
7.70000000e+00 4.42707673e-02
7.80000000e+00 3.93307004e-02
7.90000000e+00 4.46188620e-02
8.00000000e+00 4.32473200e-02
8.10000000e+00 3.88529864e-02
8.20000000e+00 3.98901981e-02
8.30000000e+00 4.04821337e-02
8.40000000e+00 4.13309488e-02
8.50000000e+00 3.92011497e-02
8.60000000e+00 3.92873633e-02
8.70000000e+00 3.94193333e-02
8.80000000e+00 4.00118365e-02
8.90000000e+00 4.00133218e-02
9.00000000e+00 3.96911218e-02
9.10000000e+00 3.70798793e-02
9.20000000e+00 3.90067808e-02
9.30000000e+00 3.52995321e-02
9.40000000e+00 3.55630004e-02
9.50000000e+00 3.41445398e-02
9.60000000e+00 3.80552476e-02
9.70000000e+00 3.86763196e-02
9.80000000e+00 3.61417766e-02
9.90000000e+00 3.63285990e-02
1.00000000e+01 3.61757077e-02
