# temperature_kelvin sz-expectation_hbar
1.00000000e-01 -7.49927758e-21
5.12462312e+00 -7.37879408e-21
1.01492462e+01 -7.29571183e-21
1.51738693e+01 -7.22117854e-21
2.01984925e+01 -7.14762987e-21
2.52231156e+01 -7.07495897e-21
3.02477387e+01 -7.00315087e-21
3.52723618e+01 -6.93100160e-21
4.02969849e+01 -6.85899585e-21
4.53216080e+01 -6.78707176e-21
5.03462312e+01 -6.71568620e-21
5.53708543e+01 -6.64483516e-21
6.03954774e+01 -6.57362615e-21
6.54201005e+01 -6.50259011e-21
7.04447236e+01 -6.43026120e-21
7.54693467e+01 -6.35840870e-21
8.04939698e+01 -6.28972563e-21
8.55185930e+01 -6.21738166e-21
9.05432161e+01 -6.14612490e-21
9.55678392e+01 -6.07561566e-21
1.00592462e+02 -6.00464559e-21
1.05617085e+02 -5.93232834e-21
1.10641709e+02 -5.86293269e-21
1.15666332e+02 -5.79127603e-21
1.20690955e+02 -5.72269214e-21
1.25715578e+02 -5.65015797e-21
1.30740201e+02 -5.57871659e-21
1.35764824e+02 -5.51537374e-21
1.40789447e+02 -5.44494724e-21
1.45814070e+02 -5.37412070e-21
1.50838693e+02 -5.30648639e-21
1.55863317e+02 -5.23924084e-21
1.60887940e+02 -5.17138308e-21
1.65912563e+02 -5.10410481e-21
1.70937186e+02 -5.03944750e-21
1.75961809e+02 -4.97432517e-21
1.80986432e+02 -4.90641995e-21
1.86011055e+02 -4.84465985e-21
1.91035678e+02 -4.78232498e-21
1.96060302e+02 -4.71727811e-21
2.01084925e+02 -4.65971216e-21
2.06109548e+02 -4.59867180e-21
2.11134171e+02 -4.53470057e-21
2.16158794e+02 -4.48154899e-21
2.21183417e+02 -4.42324366e-21
2.26208040e+02 -4.36816713e-21
2.31232663e+02 -4.31237018e-21
2.36257286e+02 -4.25444088e-21
2.41281910e+02 -4.19402026e-21
2.46306533e+02 -4.14510541e-21
2.51331156e+02 -4.08865803e-21
2.56355779e+02 -4.03814951e-21
2.61380402e+02 -3.99080294e-21
2.66405025e+02 -3.94125515e-21
2.71429648e+02 -3.89564343e-21
